iteration,eval_return,eval_std
0,1946.9404296875,1501.853271484375
1,2851.039794921875,1481.5360107421875
2,5389.90576171875,42.020084381103516
3,5236.2099609375,158.39138793945312
4,5325.1826171875,67.54569244384766
5,5404.03662109375,38.80299377441406
6,5369.1142578125,53.2064323425293
7,5337.6875,39.66139602661133
8,5420.0751953125,27.182607650756836
9,5345.9560546875,25.08983039855957
10,5384.37109375,34.76791000366211
11,5386.14453125,52.155860900878906
12,5380.5654296875,50.324851989746094
13,5171.052734375,216.04725646972656
14,5366.095703125,81.77244567871094
15,5311.69384765625,59.14182662963867
16,5321.2861328125,53.48527526855469
17,5416.48291015625,38.296932220458984
18,5400.07275390625,28.515661239624023
19,5382.83349609375,44.45030212402344
